Username,comment
Benson Mwaura Mburu,"Plasms 94 is a good assurance for Divine justice,no insults go and read.His Divine recompense is timely and He will act. 😳"
Nickson Ekume,So will he still run for presidency the fact that he has been mentioned in ICC case on crime against humanity not forgetting chapter six of our constitution ..?? How will IEBC clear him? Its clear now his name won't be on ballot box unless cleared by ICC
George Waithaka,William Ruto You Can Dethrone the Truth You Can Send The Truth To The Exile ..But The Truth Shall Find It's Way Back.  Continue Resting in Peace Meshach Yebei😭😭
Annastacia Kiatu Kivue,Eeeeiii when you are on Top  you'll always be a topic.
Moses Kirui,"It is a headache, but deep I know it will fail,whoever is destined by fate will be,regardless of the obstacles, why now? Every, plan, schemes, will fail, and will work for his good"
Kevin Dola,"The land grabber is full of hatred and revengeful, i wonder what he goes to do in church with all the insults and hatred"
Kaka Orege,Am sure MDVD is following closely....can someone remind him what happened in 2013?....
Wanyaga Wachira,"We all know who is pushing this thing, Ruto the 5th 💪💪💪"
Obed Ngumbi,Our deputy is a man of God and no weapon formed against him will prosper God will protect him
Sheila Kemunto,Ruto will never be the president of this country. NEVER yake inakwisha this August
Javan John,"It should not be used against ruto since it will be taken as a political move. Anyway ICC is not a big deal, uhuruto were elected when at ICC. Not a supporter of him(ruto) but that case should not worry him."
Hezron Omusula,The blood and souls of those burnt in that kiambaa church will never Rest in peace until Icc turns all the Stones
Julius K. Muiga,"May the justice of idp's be prevailed, and the so called dp face the music"
Alex Saidimu,"Ruto won't even have time to hear any of the icc hearing it doesn't concern him.Nyinyi mtumike vibaya kueneza  chili dhidi ya ruto but once we get into the state house,We recommend Ruto to only issue KCB a license to broadcast verifiable news contrary to what most of you fools are  feeding us there.Very partisan."
Timothy Kimoi,"During ruling of case of William Ruto & Joshua Sang, Obue Osuji said this case has been heard to beyond reasonable doupt, that both accuces are innocent, hence this cace will NOT be heard again in ICC or any court in the world, so Ruto has nothing to fear because his case was completely terminated."
Damaris Cimba,Is ICC part of Uhuraila property or they also can take bribe ?why bring the case at this time if it is not Uhuraila weapi to stop ruto you men remember your days will surely come to an end one day !! don't behave as if you helped God creat the Earth !!
Mil Cheb C,"Only Ruto among the five to stand trial,is he the only one that caused all that?!"
Charo Hanjari,I wish Kenyans will realise that despite fighting for those politicians with zeal and zest our politicians  will not fight for our daily battles and hustles .Always preserve your energy to fight for yourself and life.God bless Kenya
Joy Joanne,Deep state endeleeni kuskuma tu...God is with Ruto and nothing much to worry
Jecinta Muturi,"But i like the idea of,, Ruto's lawyer Khalim Khan,,is now the ICC procecutor 🙄🙄🙄🙄"
Wanjo Wanjoz,I dont trust ICC.it acts like a kangaroo court.Its rulings are influenced by  non members...u. s .a . being one of them.
Edel Njoki,"That's nothing to stress Ruto,Ati ICC?"
Euslah Chumba,ICC was there during Uhuru Ruto team .. Uhuru became the president so may God of Daniel protect Ruto the 5th
Dominic Machoka,"With God everything is possible to our fifh president who we love, HE WILLIAM RUTO"
Mbui Mwangi,ICC is nothing it has never being a thing
Kambela Henri,Burning innocent kikuyus in a church is no Small crime.
Victor Kaunyangi,ICC Campaigning for him by securing sympathy votes
Ann Milysa Alisa,God protect Ruto please
Michael Múngai,wastage of time coupled with unnecessary furore
John Rapando,Ruto is giving people sleepless nights. Making headlines daily.
Imahnwel Osuurah,The truth will prevail no matter what
Wilfred Willy Reborn,Ruto deserves Icc
Mark Mill,Karim khan is there nothing to panic
Tom Omollo,Mukora and the pretender so this is what we want to lead as
Msafii Wizmond,"NTV please,mind your work"
Rogers Njagi Micheni,"Ruto can only be jailed alongside Uhuru and Raila if not that we will stop reggae, #ifyoudontgerritforgetaboutit"
Kenyan Kipro Too,Big win to Ruto
Francis Soloo,This guy must appear in Netherlands as 🔜 as possible without second thought. Inahitajika afungwe mara Moja take these to the nearest kcb
Nelly Kdr,"Which headache, it's only Nation which has a headche with this issues, but najua majority of the editorial team at nation are luos"
Jamcheoz Gitonga,Some Pple will NOT appear in the ballot box
Muthiora Njuguna,"No problem panadol, Apc, sonadol, Mara moja ziko and if headache persist he will consult a doctor and if worse comes to worst death which is a must to everyone. Ruto endelea na campaign what is going on in ICC is hearsay no facts."
Kinuthia Mugiia,God is there for you out 5th president of Kenya
Willard Kemboi,That is according to NTV health centre.
John M. Mwangi,The neocolonialist will never choose a leader for us
Aggrey Bitonye,"We need peace, nothing more"
Mebur Silas Leton,We are way long passed icc.
John Gichuki,"NTV don't think we are fool okay, Kenyan have moved on don't bring your nonsense here."
Ruto Vs Raila,Stop all this people is not afairat all.
Mebur Silas Leton,The same icc that said kenya is in somalia🤣🤣🤣🤣
Moss N Mutuku,According with situation now  wsr is about to go exile
Michael Nguri,Roto to be president of sugoi country
Jeff van Mbai,rutonism is not athreat at all on political ground allow him on the ballot
Ruto Murkomen,Why election time? this is pure politics.
Wamothee Waquito,Our fifth is not going anywhere
Elvis Salano,Media y are u inciting people anyway I know Ruto is not linked but u are here to sale
Mwangi Michael,A sigh of victory just like yr 2013
James Ndung'u,No wonder Ruto is begging for 5 years only.Tano tu.He has forgotten he has served for 9 years and failed kenyans.He should refund kenyans the 4 excess years.
Fortunators Ibrahimovic Karioki,Mudavadi is happy now
AmeNiblock Mpenda WatuWote,"Last time Ruto Survived, this time round hatoboi, the Spirit of Yebei is catching up with him very fast."
Anne Awuor Awuor,These are just politics
Robert Kiggundu,The Hustler will surely overcome
Murimi Dennis,Why ruto. Has the lawyer mentioned ruto by name??.. Did the lawyer meet ruto anywhere?
Hezbon Onoka,A key witness named Yebei was found dead Mr Do it's believed that Soo many soul's are not at peace and their blood is on your hand ungekuwa mtu msafi hta mm ningekupea Kura lakini naogopa.
Hellen Kiptanui,This guy's hand is too dirty to receive the instruments of power.
Great Blackmailer,Interfered with witnesses
Benerde KE,Nan amewafunza kizungu😹😅😅🤦this is not always ur way of writing headlines 🥴🙆‍♂️😏🙆‍♂️🙆‍♂️
Kamande David,They will try try try try try and try but nothing will happen  we know you and your plan you and will not succeed
Joshua Muema,He should be there too
Cossy Kinanga,Ruto the 5th. 💪
James Ndung'u,No wonder mudavadi said that Ruto is not the automatic candidate of Kenya kwanza alliance.Some said Atwoli ni wazimu.
Wabwire Vin,Ruto is guilty
Muket Jnr,Gicheru and Ruto are two different nouns.How? Media ya kina bladifwaaaks
